order_id,customer_id,order_placement_date,on_time,in_full,otif
FMY530103101,789103,17-05-2025,1,0,0
FJUN61103501,789103,17-05-2025,1,0,0
FMY530102502,789102,17-05-2025,1,0,0
FMY531102503,789102,17-05-2025,1,0,0
FMY530903402,789903,17-05-2025,1,0,0
FMY531903303,789903,17-05-2025,1,0,0
FJUN61903603,789903,17-05-2025,1,0,0
FJUN61903502,789903,17-05-2025,1,0,0
FMY530702401,789702,17-05-2025,1,0,0
FMY531702402,789702,17-05-2025,1,0,0
FJUN61702402,789702,17-05-2025,1,0,0
FJUN61202602,789202,17-05-2025,1,0,0
FJUN61221502,789221,17-05-2025,1,0,0
FMY530621202,789621,17-05-2025,1,0,0
FJUN61621602,789621,17-05-2025,1,0,0
FJUN61402401,789402,17-05-2025,1,0,0
FMY530902603,789902,17-05-2025,1,0,0
FMY531902403,789902,17-05-2025,1,0,0
FJUN61902203,789902,17-05-2025,1,0,0
FMY530622603,789622,17-05-2025,1,0,0
FMY531622501,789622,17-05-2025,1,0,0
FMY531703601,789703,17-05-2025,1,0,0
FMY531721502,789721,17-05-2025,1,0,0
FJUN61721502,789721,17-05-2025,1,0,0
FMY530122303,789122,17-05-2025,1,0,0
FJUN61122501,789122,17-05-2025,1,0,0
FMY531503503,789503,17-05-2025,1,0,0
FMY530603503,789603,17-05-2025,1,0,0
FJUN61603301,789603,17-05-2025,1,0,0
FMY531403603,789403,17-05-2025,1,0,0
FJUN61403301,789403,17-05-2025,1,0,0
FMY531421502,789421,17-05-2025,1,0,0
FMY530421303,789421,17-05-2025,1,0,0
FJUN61521103,789521,17-05-2025,1,0,0
FMY530203102,789203,17-05-2025,0,0,0
FMY531303302,789303,17-05-2025,0,0,0
FMY530403303,789403,17-05-2025,0,0,0
FJUN61202103,789202,17-05-2025,0,0,0
FMY531603602,789603,17-05-2025,0,0,0
FJUN61603402,789603,17-05-2025,0,0,0
FMY530221401,789221,17-05-2025,0,0,0
FMY530903502,789903,17-05-2025,0,0,0
FJUN61702601,789702,17-05-2025,0,0,0
FJUN61521203,789521,17-05-2025,0,0,0
FMY530522602,789522,17-05-2025,0,0,0
FJUN61522201,789522,17-05-2025,0,0,0
FMY530121602,789121,17-05-2025,0,0,0
FJUN61121501,789121,17-05-2025,0,0,0
FMY531421101,789421,17-05-2025,0,0,0
FMY530421202,789421,17-05-2025,0,0,0
FJUN61421501,789421,17-05-2025,0,0,0
FJUN61122303,789122,17-05-2025,0,0,0
FJUN61122402,789122,17-05-2025,0,0,0
FJUN61122602,789122,17-05-2025,0,0,0
FMY530422501,789422,17-05-2025,0,1,0
FJUN61422301,789422,17-05-2025,0,1,0
FJUN61422103,789422,17-05-2025,0,1,0
FJUN61422101,789422,17-05-2025,0,1,0
FMY530102602,789102,17-05-2025,0,1,0
FMY531122502,789122,17-05-2025,0,1,0
FMY530203201,789203,17-05-2025,0,1,0
FMY531203302,789203,17-05-2025,0,1,0
FJUN61721503,789721,17-05-2025,0,1,0
FMY530321203,789321,17-05-2025,0,1,0
FJUN61321603,789321,17-05-2025,0,1,0
FJUN61221401,789221,17-05-2025,0,1,0
FMY530622401,789622,17-05-2025,0,1,0
FMY530202501,789202,17-05-2025,0,1,0
FMY530902502,789902,17-05-2025,0,1,0
FMY531902602,789902,17-05-2025,0,1,0
FMY531703101,789703,17-05-2025,0,1,0
FJUN61402602,789402,17-05-2025,0,1,0
FJUN61403501,789403,17-05-2025,0,1,0
FJUN61403203,789403,17-05-2025,0,1,0
FMY531522203,789522,17-05-2025,0,1,0
FMY531522401,789522,17-05-2025,0,1,0
FJUN61522601,789522,17-05-2025,0,1,0
FJUN61522502,789522,17-05-2025,0,1,0
FMY531521301,789521,17-05-2025,0,1,0
FMY530521403,789521,17-05-2025,0,1,0
FMY530521301,789521,17-05-2025,0,1,0
FMY531521503,789521,17-05-2025,0,1,0
FJUN61521301,789521,17-05-2025,0,1,0
FMY531121303,789121,17-05-2025,0,1,0
FMY530121401,789121,17-05-2025,0,1,0
FMY531402202,789402,17-05-2025,1,1,1
FMY530402202,789402,17-05-2025,1,1,1
FJUN61622102,789622,17-05-2025,1,1,1
FJUN61622302,789622,17-05-2025,1,1,1
FMY531221203,789221,17-05-2025,1,1,1
FMY530221502,789221,17-05-2025,1,1,1
FMY531221503,789221,17-05-2025,1,1,1
FMY530721502,789721,17-05-2025,1,1,1
