order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FJUN61321403,17-05-2025,789321,25891203,141,01-06-2025,01-06-2025,141,1,1,1
FMY530321203,17-05-2025,789321,25891203,220,30-05-2025,31-05-2025,220,1,0,0
FMY531321603,17-05-2025,789321,25891302,97,31-05-2025,31-05-2025,97,1,1,1
FJUN61603301,17-05-2025,789603,25891203,109,01-06-2025,02-06-2025,109,1,1,1
FMY531603302,17-05-2025,789603,25891302,85,01-06-2025,01-06-2025,85,1,1,1
FJUN61102203,17-05-2025,789102,25891203,109,31-05-2025,31-05-2025,109,1,1,1
FJUN61103501,17-05-2025,789103,25891203,336,01-06-2025,01-06-2025,336,1,1,1
FJUN61121203,17-05-2025,789121,25891203,287,01-06-2025,01-06-2025,287,1,1,1
FMY531703601,17-05-2025,789703,25891203,181,30-05-2025,30-05-2025,181,1,1,1
FJUN61202602,17-05-2025,789202,25891203,439,31-05-2025,31-05-2025,395,0,1,0
FMY531202303,17-05-2025,789202,25891302,80,01-06-2025,01-06-2025,80,1,1,1
FMY531521301,17-05-2025,789521,25891203,477,31-05-2025,31-05-2025,477,1,0,0
FJUN61521203,17-05-2025,789521,25891203,424,31-05-2025,03-06-2025,403,0,0,0
FJUN61721502,17-05-2025,789721,25891203,122,01-06-2025,01-06-2025,122,1,1,1
FMY531221203,17-05-2025,789221,25891203,159,31-05-2025,02-06-2025,159,1,1,1
FMY531303301,17-05-2025,789303,25891203,384,31-05-2025,31-05-2025,384,1,1,1
FMY531303302,17-05-2025,789303,25891302,61,01-06-2025,01-06-2025,55,0,0,0
FJUN61303503,17-05-2025,789303,25891302,43,31-05-2025,31-05-2025,43,1,1,1
FMY531522203,17-05-2025,789522,25891203,500,31-05-2025,02-06-2025,500,1,0,0
FJUN61522502,17-05-2025,789522,25891203,379,01-06-2025,03-06-2025,379,1,0,0
FJUN61403203,17-05-2025,789403,25891203,378,01-06-2025,01-06-2025,378,1,0,0
FMY530503602,17-05-2025,789503,25891203,152,31-05-2025,30-05-2025,152,1,1,1
FJUN61902203,17-05-2025,789902,25891203,171,30-05-2025,29-05-2025,162,0,1,0
FJUN61622302,17-05-2025,789622,25891302,86,31-05-2025,02-06-2025,86,1,1,1
FMY531621403,17-05-2025,789621,25891302,78,31-05-2025,31-05-2025,78,1,1,1
FMY531203302,17-05-2025,789203,25891302,22,31-05-2025,31-05-2025,22,1,0,0
FJUN61522601,17-05-2025,789522,25891302,46,31-05-2025,01-06-2025,46,1,0,0
FMY531121303,17-05-2025,789121,25891302,45,01-06-2025,01-06-2025,45,1,0,0
FMY530903402,17-05-2025,789903,25891302,82,31-05-2025,03-06-2025,74,0,1,0
FMY531721502,17-05-2025,789721,25891301,89,01-06-2025,03-06-2025,85,0,1,0
FMY530703602,17-05-2025,789703,25891301,78,01-06-2025,04-06-2025,78,1,1,1
FMY531102503,17-05-2025,789102,25891301,38,30-05-2025,30-05-2025,36,0,1,0
FJUN61621602,17-05-2025,789621,25891602,75,30-05-2025,30-05-2025,67,0,1,0
FMY530703602,17-05-2025,789703,25891102,302,01-06-2025,01-06-2025,302,1,1,1
FMY530702401,17-05-2025,789702,25891102,355,01-06-2025,01-06-2025,319,0,1,0
FJUN61621602,17-05-2025,789621,25891102,448,31-05-2025,31-05-2025,448,1,1,1
