order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FJUN61101203,17-05-2025,789101,25891203,408,01-06-2025,02-06-2025,408,1,0,0
FMY530401503,17-05-2025,789401,25891203,362,30-05-2025,30-05-2025,362,1,1,1
FMY531401502,17-05-2025,789401,25891203,278,31-05-2025,31-05-2025,278,1,1,1
FMY531320301,17-05-2025,789320,25891203,342,31-05-2025,31-05-2025,342,1,1,1
FMY531320302,17-05-2025,789320,25891302,73,31-05-2025,03-06-2025,73,1,0,0
FJUN61320501,17-05-2025,789320,25891302,32,01-06-2025,01-06-2025,32,1,1,1
FMY531201301,17-05-2025,789201,25891203,489,31-05-2025,02-06-2025,465,0,0,0
FMY530420203,17-05-2025,789420,25891203,369,30-05-2025,29-05-2025,369,1,1,1
FMY531420203,17-05-2025,789420,25891203,256,31-05-2025,02-06-2025,256,1,0,0
FMY531301602,17-05-2025,789301,25891203,216,31-05-2025,31-05-2025,216,1,1,1
FMY530501501,17-05-2025,789501,25891302,62,30-05-2025,30-05-2025,62,1,1,1
FMY531601402,17-05-2025,789601,25891302,83,31-05-2025,31-05-2025,66,0,1,0
FMY530420301,17-05-2025,789420,25891301,22,30-05-2025,30-05-2025,22,1,1,1
FMY531320301,17-05-2025,789320,25891301,100,31-05-2025,31-05-2025,100,1,1,1
FMY530101301,17-05-2025,789101,25891301,33,30-05-2025,29-05-2025,31,0,1,0
FMY531420102,17-05-2025,789420,25891102,423,31-05-2025,03-06-2025,423,1,0,0
FMY530220402,17-05-2025,789220,25891102,363,30-05-2025,30-05-2025,363,1,1,1
FMY531101601,17-05-2025,789101,25891102,354,31-05-2025,30-05-2025,319,0,1,0
FMY531201603,17-05-2025,789201,25891102,465,31-05-2025,31-05-2025,442,0,1,0
FJUN61201601,17-05-2025,789201,25891102,438,01-06-2025,01-06-2025,438,1,1,1
FMY530201602,17-05-2025,789201,25891502,129,30-05-2025,30-05-2025,129,1,1,1
FJUN61201601,17-05-2025,789201,25891502,112,01-06-2025,01-06-2025,101,0,1,0
FJUN61301502,17-05-2025,789301,25891502,154,01-06-2025,02-06-2025,154,1,0,0
FMY530720502,17-05-2025,789720,25891502,129,30-05-2025,30-05-2025,116,0,1,0
FMY531401502,17-05-2025,789401,25891502,143,31-05-2025,31-05-2025,129,0,1,0
FJUN61201601,17-05-2025,789201,25891403,220,01-06-2025,01-06-2025,220,1,1,1
FMY531720403,17-05-2025,789720,25891403,314,31-05-2025,03-06-2025,314,1,0,0
FJUN61720403,17-05-2025,789720,25891403,386,01-06-2025,01-06-2025,309,0,1,0
FMY530401503,17-05-2025,789401,25891503,135,30-05-2025,30-05-2025,135,1,1,1
FMY531201603,17-05-2025,789201,25891503,150,31-05-2025,31-05-2025,142,0,1,0
FJUN61501602,17-05-2025,789501,25891503,202,01-06-2025,01-06-2025,202,1,1,1
FMY531520503,17-05-2025,789520,25891503,216,31-05-2025,01-06-2025,173,0,0,0
FMY530101503,17-05-2025,789101,25891503,243,30-05-2025,30-05-2025,231,0,1,0
FJUN61220601,17-05-2025,789220,25891103,468,01-06-2025,01-06-2025,445,0,1,0
FJUN61401501,17-05-2025,789401,25891103,391,01-06-2025,01-06-2025,391,1,1,1
FJUN61301402,17-05-2025,789301,25891103,407,01-06-2025,01-06-2025,407,1,1,1
FMY531420203,17-05-2025,789420,25891103,492,31-05-2025,02-06-2025,492,1,0,0
FJUN61520601,17-05-2025,789520,25891601,60,01-06-2025,01-06-2025,54,0,1,0
FJUN61201601,17-05-2025,789201,25891601,199,01-06-2025,01-06-2025,199,1,1,1
FMY531101601,17-05-2025,789101,25891601,142,31-05-2025,30-05-2025,142,1,1,1
FJUN61101601,17-05-2025,789101,25891601,158,01-06-2025,01-06-2025,158,1,1,1
FJUN61220601,17-05-2025,789220,25891601,120,01-06-2025,01-06-2025,114,0,1,0
FMY531720603,17-05-2025,789720,25891601,135,31-05-2025,31-05-2025,135,1,1,1
FJUN61420601,17-05-2025,789420,25891601,174,01-06-2025,02-06-2025,174,1,0,0
FMY530220402,17-05-2025,789220,25891402,423,30-05-2025,30-05-2025,423,1,1,1
FJUN61220601,17-05-2025,789220,25891402,461,01-06-2025,01-06-2025,461,1,1,1
FMY530401503,17-05-2025,789401,25891402,324,30-05-2025,30-05-2025,324,1,1,1
FMY531720603,17-05-2025,789720,25891402,222,31-05-2025,31-05-2025,200,0,1,0
FJUN61720402,17-05-2025,789720,25891402,388,01-06-2025,02-06-2025,349,0,0,0
FJUN61301402,17-05-2025,789301,25891402,336,01-06-2025,01-06-2025,336,1,1,1
FMY531601402,17-05-2025,789601,25891402,441,31-05-2025,31-05-2025,397,0,1,0
FMY530401201,17-05-2025,789401,25891201,138,30-05-2025,31-05-2025,138,1,0,0
FMY530101503,17-05-2025,789101,25891201,461,30-05-2025,30-05-2025,461,1,1,1
FMY530520501,17-05-2025,789520,25891501,167,30-05-2025,02-06-2025,159,0,0,0
FMY531520501,17-05-2025,789520,25891501,130,31-05-2025,02-06-2025,124,0,0,0
FJUN61520603,17-05-2025,789520,25891501,133,01-06-2025,03-06-2025,133,1,0,0
FMY530501501,17-05-2025,789501,25891501,219,30-05-2025,30-05-2025,219,1,1,1
FJUN61401501,17-05-2025,789401,25891501,126,01-06-2025,01-06-2025,126,1,1,1
FMY531420501,17-05-2025,789420,25891501,226,31-05-2025,31-05-2025,215,0,1,0
FJUN61320501,17-05-2025,789320,25891501,106,01-06-2025,01-06-2025,106,1,1,1
FMY531101603,17-05-2025,789101,25891501,144,31-05-2025,31-05-2025,144,1,1,1
FMY530720502,17-05-2025,789720,25891501,166,30-05-2025,30-05-2025,158,0,1,0
FMY531301602,17-05-2025,789301,25891602,187,31-05-2025,31-05-2025,187,1,1,1
FJUN61301602,17-05-2025,789301,25891602,117,01-06-2025,31-05-2025,117,1,1,1
FMY530420602,17-05-2025,789420,25891102,486,30-05-2025,31-05-2025,437,0,0,0
FMY530420602,17-05-2025,789420,25891602,91,30-05-2025,31-05-2025,91,1,0,0
FMY530201602,17-05-2025,789201,25891602,190,30-05-2025,30-05-2025,190,1,1,1
FMY530320602,17-05-2025,789320,25891602,72,30-05-2025,30-05-2025,72,1,1,1
FJUN61501602,17-05-2025,789501,25891602,86,01-06-2025,01-06-2025,77,0,1,0
FMY530201602,17-05-2025,789201,25891101,467,30-05-2025,30-05-2025,467,1,1,1
FMY531320301,17-05-2025,789320,25891101,311,31-05-2025,31-05-2025,311,1,1,1
