order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR34203601,01-03-2025,789203,25891601,110,04-03-2025,04-03-2025,110,1,1,1
FMR32320302,01-03-2025,789320,25891203,347,02-03-2025,02-03-2025,347,1,1,1
FMR33320501,01-03-2025,789320,25891203,187,03-03-2025,03-03-2025,150,0,1,0
FMR34220601,01-03-2025,789220,25891203,235,04-03-2025,04-03-2025,235,1,1,1
FMR33703603,01-03-2025,789703,25891203,176,03-03-2025,03-03-2025,176,1,1,1
FMR33721603,01-03-2025,789721,25891203,345,03-03-2025,03-03-2025,345,1,1,1
FMR33420203,01-03-2025,789420,25891203,138,03-03-2025,06-03-2025,138,1,0,0
FMR34420402,01-03-2025,789420,25891203,381,04-03-2025,05-03-2025,381,1,0,0
FMR32403401,01-03-2025,789403,25891203,348,02-03-2025,02-03-2025,348,1,1,1
FMR34121203,01-03-2025,789121,25891203,480,04-03-2025,06-03-2025,480,1,0,0
FMR32501601,01-03-2025,789501,25891203,478,02-03-2025,02-03-2025,478,1,1,1
FMR34501203,01-03-2025,789501,25891203,491,04-03-2025,04-03-2025,491,1,1,1
FMR34102602,01-03-2025,789102,25891203,407,04-03-2025,04-03-2025,387,0,1,0
FMR33902203,01-03-2025,789902,25891203,299,03-03-2025,03-03-2025,299,1,1,1
FMR34903603,01-03-2025,789903,25891203,329,04-03-2025,04-03-2025,329,1,1,1
FMR32421203,01-03-2025,789421,25891203,441,02-03-2025,03-03-2025,419,0,0,0
FMR33421203,01-03-2025,789421,25891203,104,03-03-2025,06-03-2025,99,0,0,0
FMR33402203,01-03-2025,789402,25891203,491,03-03-2025,05-03-2025,491,1,0,0
FMR33621603,01-03-2025,789621,25891203,138,03-03-2025,03-03-2025,138,1,1,1
FMR34520301,01-03-2025,789520,25891203,172,04-03-2025,04-03-2025,155,0,1,0
FMR33702302,01-03-2025,789702,25891302,38,03-03-2025,03-03-2025,30,0,1,0
FMR32320302,01-03-2025,789320,25891302,54,02-03-2025,02-03-2025,54,1,1,1
FMR34603302,01-03-2025,789603,25891302,37,04-03-2025,04-03-2025,37,1,1,1
FMR34721502,01-03-2025,789721,25891302,63,04-03-2025,05-03-2025,60,0,0,0
FMR33621302,01-03-2025,789621,25891302,56,03-03-2025,04-03-2025,56,1,0,0
FMR32520302,01-03-2025,789520,25891302,54,02-03-2025,03-03-2025,49,0,0,0
FMR33520601,01-03-2025,789520,25891302,42,03-03-2025,05-03-2025,34,0,0,0
FMR34520302,01-03-2025,789520,25891302,23,04-03-2025,05-03-2025,22,0,0,0
FMR32420602,01-03-2025,789420,25891302,49,02-03-2025,04-03-2025,49,1,0,0
FMR32902402,01-03-2025,789902,25891302,70,02-03-2025,02-03-2025,70,1,1,1
FMR32521302,01-03-2025,789521,25891302,34,02-03-2025,03-03-2025,34,1,0,0
FMR32720302,01-03-2025,789720,25891302,49,02-03-2025,02-03-2025,49,1,1,1
FMR33401603,01-03-2025,789401,25891302,40,03-03-2025,03-03-2025,40,1,1,1
FMR33121302,01-03-2025,789121,25891302,26,03-03-2025,03-03-2025,26,1,1,1
FMR32903403,01-03-2025,789903,25891302,42,02-03-2025,02-03-2025,40,0,1,0
FMR32422302,01-03-2025,789422,25891302,67,02-03-2025,05-03-2025,54,0,0,0
FMR32301302,01-03-2025,789301,25891302,29,02-03-2025,05-03-2025,29,1,0,0
FMR33721603,01-03-2025,789721,25891301,59,03-03-2025,03-03-2025,59,1,1,1
FMR32420403,01-03-2025,789420,25891301,87,02-03-2025,02-03-2025,87,1,1,1
FMR33420301,01-03-2025,789420,25891301,23,03-03-2025,05-03-2025,18,0,0,0
FMR33320501,01-03-2025,789320,25891301,46,03-03-2025,03-03-2025,46,1,1,1
FMR33122301,01-03-2025,789122,25891301,29,03-03-2025,05-03-2025,26,0,0,0
FMR34101301,01-03-2025,789101,25891301,76,04-03-2025,04-03-2025,76,1,1,1
FMR33421301,01-03-2025,789421,25891301,75,03-03-2025,05-03-2025,67,0,0,0
FMR34421301,01-03-2025,789421,25891301,47,04-03-2025,04-03-2025,45,0,1,0
FMR34103403,01-03-2025,789103,25891301,71,04-03-2025,04-03-2025,67,0,1,0
FMR32121301,01-03-2025,789121,25891301,72,02-03-2025,03-03-2025,65,0,0,0
FMR34203601,01-03-2025,789203,25891301,100,04-03-2025,04-03-2025,100,1,1,1
FMR33402303,01-03-2025,789402,25891301,94,03-03-2025,03-03-2025,94,1,1,1
FMR34221301,01-03-2025,789221,25891301,44,04-03-2025,04-03-2025,44,1,1,1
FMR34202301,01-03-2025,789202,25891301,45,04-03-2025,04-03-2025,45,1,1,1
FMR32522301,01-03-2025,789522,25891301,46,02-03-2025,03-03-2025,46,1,0,0
FMR34522403,01-03-2025,789522,25891301,47,04-03-2025,05-03-2025,38,0,0,0
FMR34520301,01-03-2025,789520,25891301,38,04-03-2025,04-03-2025,34,0,1,0
FMR33301301,01-03-2025,789301,25891301,92,03-03-2025,03-03-2025,83,0,1,0
FMR34303602,01-03-2025,789303,25891301,44,04-03-2025,04-03-2025,40,0,1,0
FMR33220603,01-03-2025,789220,25891301,75,03-03-2025,03-03-2025,75,1,1,1
FMR32422301,01-03-2025,789422,25891301,63,02-03-2025,02-03-2025,63,1,1,1
FMR33422301,01-03-2025,789422,25891301,63,03-03-2025,05-03-2025,60,0,0,0
FMR34303602,01-03-2025,789303,25891102,352,04-03-2025,04-03-2025,317,0,1,0
FMR34401102,01-03-2025,789401,25891102,369,04-03-2025,03-03-2025,369,1,1,1
FMR34520302,01-03-2025,789520,25891102,373,04-03-2025,05-03-2025,336,0,0,0
FMR32121102,01-03-2025,789121,25891102,397,02-03-2025,01-03-2025,377,0,1,0
FMR33902203,01-03-2025,789902,25891102,494,03-03-2025,03-03-2025,395,0,1,0
FMR34902102,01-03-2025,789902,25891102,465,04-03-2025,05-03-2025,465,1,0,0
FMR32503401,01-03-2025,789503,25891102,459,02-03-2025,02-03-2025,367,0,1,0
FMR32720302,01-03-2025,789720,25891102,402,02-03-2025,02-03-2025,402,1,1,1
FMR33720202,01-03-2025,789720,25891102,483,03-03-2025,03-03-2025,483,1,1,1
FMR34321602,01-03-2025,789321,25891102,368,04-03-2025,04-03-2025,331,0,1,0
FMR32103503,01-03-2025,789103,25891102,307,02-03-2025,02-03-2025,246,0,1,0
FMR32421102,01-03-2025,789421,25891102,309,02-03-2025,04-03-2025,278,0,0,0
FMR34421301,01-03-2025,789421,25891102,412,04-03-2025,04-03-2025,391,0,1,0
FMR34320102,01-03-2025,789320,25891102,432,04-03-2025,05-03-2025,432,1,0,0
FMR32420102,01-03-2025,789420,25891102,310,02-03-2025,05-03-2025,310,1,0,0
FMR32702601,01-03-2025,789702,25891102,478,02-03-2025,02-03-2025,454,0,1,0
FMR34220601,01-03-2025,789220,25891102,473,04-03-2025,04-03-2025,473,1,1,1
FMR34201202,01-03-2025,789201,25891102,372,04-03-2025,04-03-2025,353,0,1,0
FMR32102102,01-03-2025,789102,25891102,496,02-03-2025,01-03-2025,496,1,1,1
FMR34122102,01-03-2025,789122,25891102,443,04-03-2025,06-03-2025,399,0,0,0
FMR33621102,01-03-2025,789621,25891102,480,03-03-2025,06-03-2025,480,1,0,0
FMR32622502,01-03-2025,789622,25891502,153,02-03-2025,02-03-2025,138,0,1,0
FMR33622502,01-03-2025,789622,25891502,132,03-03-2025,03-03-2025,132,1,1,1
FMR32420602,01-03-2025,789420,25891502,165,02-03-2025,04-03-2025,157,0,0,0
FMR32201502,01-03-2025,789201,25891502,160,02-03-2025,02-03-2025,160,1,1,1
FMR33220603,01-03-2025,789220,25891502,211,03-03-2025,03-03-2025,211,1,1,1
FMR33202502,01-03-2025,789202,25891502,141,03-03-2025,03-03-2025,134,0,1,0
FMR33520502,01-03-2025,789520,25891502,173,03-03-2025,06-03-2025,173,1,0,0
FMR34520503,01-03-2025,789520,25891502,143,04-03-2025,07-03-2025,129,0,0,0
FMR33503502,01-03-2025,789503,25891502,238,03-03-2025,03-03-2025,238,1,1,1
FMR34503502,01-03-2025,789503,25891502,231,04-03-2025,03-03-2025,231,1,1,1
FMR33401603,01-03-2025,789401,25891502,140,03-03-2025,03-03-2025,133,0,1,0
FMR34401503,01-03-2025,789401,25891502,200,04-03-2025,04-03-2025,200,1,1,1
FMR34721502,01-03-2025,789721,25891502,123,04-03-2025,05-03-2025,98,0,0,0
FMR34702502,01-03-2025,789702,25891502,239,04-03-2025,04-03-2025,215,0,1,0
FMR33521502,01-03-2025,789521,25891502,167,03-03-2025,05-03-2025,167,1,0,0
FMR33520502,01-03-2025,789520,25891403,359,03-03-2025,06-03-2025,341,0,0,0
FMR33320501,01-03-2025,789320,25891403,239,03-03-2025,03-03-2025,239,1,1,1
FMR34422403,01-03-2025,789422,25891403,265,04-03-2025,06-03-2025,252,0,0,0
FMR32903403,01-03-2025,789903,25891403,244,02-03-2025,02-03-2025,220,0,1,0
FMR32420403,01-03-2025,789420,25891403,397,02-03-2025,02-03-2025,318,0,1,0
FMR33101403,01-03-2025,789101,25891403,315,03-03-2025,03-03-2025,283,0,1,0
FMR32202603,01-03-2025,789202,25891403,440,02-03-2025,02-03-2025,440,1,1,1
FMR34303602,01-03-2025,789303,25891403,427,04-03-2025,04-03-2025,406,0,1,0
FMR32121403,01-03-2025,789121,25891403,441,02-03-2025,02-03-2025,441,1,1,1
FMR34522403,01-03-2025,789522,25891403,320,04-03-2025,05-03-2025,320,1,0,0
FMR34103403,01-03-2025,789103,25891403,467,04-03-2025,04-03-2025,420,0,1,0
FMR32220503,01-03-2025,789220,25891403,465,02-03-2025,02-03-2025,372,0,1,0
FMR32622503,01-03-2025,789622,25891503,208,02-03-2025,01-03-2025,198,0,1,0
FMR34622602,01-03-2025,789622,25891503,241,04-03-2025,04-03-2025,241,1,1,1
FMR33720503,01-03-2025,789720,25891503,146,03-03-2025,04-03-2025,146,1,0,0
FMR32220503,01-03-2025,789220,25891503,115,02-03-2025,02-03-2025,103,0,1,0
FMR33220603,01-03-2025,789220,25891503,239,03-03-2025,03-03-2025,239,1,1,1
FMR34321602,01-03-2025,789321,25891503,246,04-03-2025,04-03-2025,246,1,1,1
FMR32221603,01-03-2025,789221,25891503,158,02-03-2025,02-03-2025,158,1,1,1
FMR33221503,01-03-2025,789221,25891503,106,03-03-2025,03-03-2025,101,0,1,0
FMR32103503,01-03-2025,789103,25891503,126,02-03-2025,02-03-2025,120,0,1,0
FMR33401603,01-03-2025,789401,25891503,161,03-03-2025,03-03-2025,145,0,1,0
FMR34401503,01-03-2025,789401,25891503,192,04-03-2025,04-03-2025,192,1,1,1
FMR34721503,01-03-2025,789721,25891503,144,04-03-2025,04-03-2025,137,0,1,0
FMR33320503,01-03-2025,789320,25891503,140,03-03-2025,06-03-2025,140,1,0,0
FMR34520503,01-03-2025,789520,25891503,233,04-03-2025,07-03-2025,221,0,0,0
FMR32101601,01-03-2025,789101,25891503,183,02-03-2025,02-03-2025,183,1,1,1
FMR32422503,01-03-2025,789422,25891503,138,02-03-2025,03-03-2025,110,0,0,0
FMR34603302,01-03-2025,789603,25891103,378,04-03-2025,04-03-2025,378,1,1,1
FMR34702602,01-03-2025,789702,25891103,480,04-03-2025,03-03-2025,432,0,1,0
FMR32601103,01-03-2025,789601,25891103,310,02-03-2025,02-03-2025,294,0,1,0
FMR34601402,01-03-2025,789601,25891103,388,04-03-2025,04-03-2025,310,0,1,0
FMR33303501,01-03-2025,789303,25891103,335,03-03-2025,03-03-2025,335,1,1,1
FMR32621103,01-03-2025,789621,25891103,431,02-03-2025,02-03-2025,431,1,1,1
FMR34621103,01-03-2025,789621,25891103,357,04-03-2025,04-03-2025,339,0,1,0
FMR32501601,01-03-2025,789501,25891103,318,02-03-2025,02-03-2025,318,1,1,1
FMR33501401,01-03-2025,789501,25891103,400,03-03-2025,03-03-2025,400,1,1,1
FMR34501203,01-03-2025,789501,25891103,327,04-03-2025,04-03-2025,327,1,1,1
FMR34402202,01-03-2025,789402,25891103,340,04-03-2025,04-03-2025,272,0,1,0
FMR32221603,01-03-2025,789221,25891103,430,02-03-2025,02-03-2025,430,1,1,1
FMR33522103,01-03-2025,789522,25891103,384,03-03-2025,04-03-2025,384,1,0,0
FMR33503502,01-03-2025,789503,25891103,325,03-03-2025,03-03-2025,309,0,1,0
FMR33122301,01-03-2025,789122,25891103,403,03-03-2025,05-03-2025,403,1,0,0
FMR34122103,01-03-2025,789122,25891103,458,04-03-2025,03-03-2025,458,1,1,1
FMR32401103,01-03-2025,789401,25891103,476,02-03-2025,02-03-2025,476,1,1,1
FMR34301103,01-03-2025,789301,25891103,351,04-03-2025,06-03-2025,351,1,0,0
FMR34902103,01-03-2025,789902,25891103,456,04-03-2025,06-03-2025,410,0,0,0
FMR32202603,01-03-2025,789202,25891103,389,02-03-2025,02-03-2025,370,0,1,0
FMR34721103,01-03-2025,789721,25891103,468,04-03-2025,06-03-2025,468,1,0,0
FMR33420203,01-03-2025,789420,25891103,357,03-03-2025,06-03-2025,357,1,0,0
FMR34420402,01-03-2025,789420,25891103,325,04-03-2025,05-03-2025,325,1,0,0
FMR32321103,01-03-2025,789321,25891103,478,02-03-2025,03-03-2025,478,1,0,0
FMR33321602,01-03-2025,789321,25891103,465,03-03-2025,03-03-2025,419,0,1,0
FMR32422401,01-03-2025,789422,25891103,317,02-03-2025,04-03-2025,317,1,0,0
